ID;title;year;categories;rating;Age;
1;The Godfather;1972;Crime,Drama;9,2;false;
2;The Shawshank Redemption;1994;Drama;9,3;false;
3;Schindler's List;1993;Biography,Drama,History;8,9;true;
4;Raging Bull;1980;Biography,Drama,Sport;8,2;false;
5;Casablanca;1942;Drama,Romance,War;8,5;false;
6;Citizen Kane;1941;Drama,Mystery;8,4;true;
7;Gone With The Wind;1939;Drama,History,Romance;8,2;false;
8;The Wizard Of Oz;1939;Adventure,Family,Fantasy;8,0;false;
9;One Flew Over The Cuckoo's Nest;1975;Drama;8,7;false;
10;Lawrence Of Arabia;1962;Adventure,Biography,Drama;8,3;false;
11;Vertigo;1958;Mystery,Romance,Thriller;8,3;false;
12;Psycho;1960;Horror,Mystery,Thriller;8,5;false;
13;The Godfather part II;1974;Crime,Drama;9;true;
14;On The Waterfront;1954;Crime,Drama,Thriller;8,2;false;
15;Sunset Boulevard;1950;Drama,Film-Noir;8,4;false;
16;Forrest Gump;1994;Drama,Romance;8,8;false;
17;The Sound Of Music;1965;Biography,Drama,Family,Musical;8,0;false;
18;12 Angry Men;1957;Crime,Drama;8,9;false;
19;West Side Story;1961;Crime,Drama;7,6;false;
20;Star Wars;1977;Action,Adventure,Family;8,6;false;
21;2001 A Space Odyssey;1968;Adventure,Sci-fi;8,3;false;
22;ET;1982;Family,Sci-fi;7,9;false;
23;The Silence Of The Lambs;1991;Crime,Drama,Thriller;8,6;true;
24;Chinatown;1974;Drama,Mystery,Thriller;8,2;false;
25;The Bridge Over The River Kwai;1957;Adventure,Drama,War;8,2;false;
26;Singin' In The Rain;1952;Comedy,Musical,Romance;8,3;false;
27;It's A Wonderful Life;1946;Drama,Family,Fantasy;8,6;false;
28;Dr. Strangelove Or How I Learned To Stop Worrying And Love The Bomb;1964;Comedy,War;8,4;false;
29;Some Like It Hot;1959;Comedy,Romance;8,2;false;
30;Ben Hur;1959;Adventure,Drama,History;8,1;false;
31;Apocalypse Now;1979;Drama,War;8,5;true;
32;Amadeus;1984;Biography,Drama,History;8,3;true;
33;Lord Of The Rings - The Return Of The King;2003;Action,Adventure,Drama;8,9;false;
34;Gladiator;2000;Action,Adventure,Drama;8,5;false;
35;Titanic;1997;Drama,Romance;7,8;false;
36;From Here To Eternity;1953;Drama,Romance,War;7,7;false;
37;Saving Private Ryan;1998;Drama,War;8,6;true;
38;Unforgiven;1992;Drama,Western;8,2;true;
39;Raiders Of The Lost Ark;1981;Action,Adventure;8,5;false;
40;Rocky;1976;Drama,Sport;8,1;false;
41;A Streetcar Named Desire;1951;Drama;8,0;false;
42;A Philadelphia Story;1940;Comedy,Romance;8,0;false;
43;To Kill A Mockingbird;1962;Crime,Drama;8,3;false;
44;An American In Paris;1951;Drama,Musical,Romance;7,2;false;
45;The Best Years Of Our Lives;1946;Drama,Romance,War;8,1;false;
46;My Fair Lady;1964;Drama,Family,Musical;7,9;false;
47;A Clockwork Orange;1971;Crime,Drama,Sci-fi;8,3;false;
48;Doctor Zhivago;1965;Drama,Romance,War;8,0;false;
49;The Searchers;1956;Adventure,Drama,Western;8,0;false;
